Date,Type,Link
2025-12-17 11:46:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7407012990954221568
2025-12-15 15:56:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7400093932409417728
2025-12-15 12:21:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7404893422983274496
2025-12-15 11:34:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7398706548832808960
2025-12-15 11:34:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7398829955599544321
2025-12-15 11:27:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7404803428138479616
2025-12-15 11:26:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7396167456651718656
2025-12-10 17:49:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7404195950170218496
2025-12-10 14:58:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7404140893676535808
2025-12-06 15:52:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7402593178362494976
2025-12-05 11:41:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7401639633542877184
2025-11-29 18:51:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7399733472195690496
2025-11-26 21:24:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7399468663130648576
2025-11-26 15:35:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7399397531928920066
2025-11-24 14:25:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7389534022235754496
2025-11-23 20:00:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7398375511833432066
2025-11-19 10:49:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7394389319290966016
2025-11-19 10:49:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7396637243165253632
2025-11-16 23:53:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7395857649390563329
2025-11-16 09:44:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7395485473151811584
2025-11-11 19:01:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7392179303754645505
2025-11-06 08:31:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7390027932015935488
2025-11-04 12:49:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7391182009810718720
2025-11-03 13:42:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7390995930331881472
2025-11-02 16:55:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7384476346326073344
2025-10-28 09:59:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7388874391054442496
2025-10-27 21:36:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7384608676302581760
2025-10-24 09:15:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7387133267197665280
2025-10-06 10:49:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7380871224911945728
2025-09-24 09:58:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7231752097250070528
2025-09-24 09:58:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7351953595476471808
2025-09-24 09:58:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7320459788310536192
2025-09-24 09:58:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7360984963523014656
2025-09-24 09:58:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7359840687585902592
2025-09-24 09:58:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7330533110696054784
2025-09-24 09:58:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7341204054670258178
2025-09-21 06:42:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7374449886164996096
2025-08-14 09:35:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7359185093875163138
2025-08-01 20:31:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7356276251159855105
2025-07-29 09:57:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7354126971724873730
2025-07-22 20:10:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7352366212804149249
2025-07-17 13:23:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7351571604960649216
2025-06-26 10:11:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7343569798804439042
2025-06-20 08:12:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7341361814284206082
2025-06-11 23:44:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7338514414196641792
2025-06-04 16:43:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7329147674081890304
2024-12-19 03:26:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7270493125301653504
2024-11-12 17:28:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7257352284076949504
2024-09-12 09:30:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7239907739487883264
2024-05-30 08:49:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7198234104792805376
2023-11-25 01:57:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7130215157087035394
2023-10-07 06:16:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7112650698655215616
2023-04-10 08:55:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7047045264427143168
2022-10-02 01:00:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6980074415229140992
2022-07-26 18:42:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6957687682030276609
2022-03-27 12:24:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6913075351866724352
2021-12-14 07:50:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6874350677850636288
2021-12-14 07:50:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6872468501685116931
2021-06-08 07:26:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6806961072076009472
2021-06-01 20:54:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6805500558686916608
2021-05-29 11:10:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6803689074889654272
2021-05-14 18:54:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6798948263497097216
2021-04-13 09:09:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6787635653413781504
2021-03-24 15:39:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6780096974466105344
2021-03-18 13:13:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6778263789704941568
2021-03-11 21:46:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6775775803209719808
2021-03-09 06:38:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A690327-6774930963051941888
2020-08-23 14:02:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6702910605948420097
2020-08-16 06:26:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6700050076867284992
2020-08-12 14:02:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6699277628932677632
2020-08-06 15:41:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6697142942051786752
2020-08-05 05:04:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6696635856607825920
2020-08-03 21:41:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6696035973614059520
2020-08-01 05:56:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6695200522653208576
2020-07-23 17:10:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6691960991820869632
2020-07-03 04:46:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6684491497741668352
2020-07-03 04:43:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6684063615827419136
2020-06-02 05:50:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6669499507325059072
